"","id","date","u","v","u.se","v.se","x.se","y.se","s","s.se","geometry","dist_to_next_m","dis_to_next_km","timetilnext","lon","lat"
"62","181624",2022-09-02,0.00675844735890919,-0.00804491888584834,11.1310490676201,11.1310068371714,296.042008471614,296.040707020523,0.0105070134000423,NA,c(-109.557614337795, 26.6947166269082),225.747601212054,0.225747601212054,24,-109.557614337795,26.6947166269082
"63","181624",2022-09-03,0.00639308690139087,-0.00659484189104403,12.3349409207008,12.3348866941996,0.0047255309866043,0.00472552014166092,0.00918496051722,NA,c(-109.556236015953, 26.6934395147814),197.270387354336,0.197270387354336,24,-109.556236015953,26.6934395147814
"64","181624",2022-09-04,0.00337213568827343,-0.00215159452815744,10.6933787475816,10.6933467199362,256.63811956953,256.637350914936,0.00400013940051767,NA,c(-109.555508990568, 26.6930228385628),85.8094998541255,0.0858094998541255,24,-109.555508990568,26.6930228385628
"65","181624",2022-09-05,0.00125368529753437,0.000764108174783173,8.19969584000317,8.19968692858874,327.069054272476,327.067952839353,0.00146819212909949,NA,c(-109.555238701448, 26.6931708118312),31.4920196849682,0.0314920196849682,24,-109.555238701448,26.6931708118312
"66","181624",2022-09-06,3.77461752617002e-05,0.00215224853725716,8.46760660001362,8.46759321118611,241.138244348826,241.137620524071,0.00215257950849092,NA,c(-109.555230563536, 26.6935876041957),46.3523200165927,0.0463523200165927,24,-109.555230563536,26.6935876041957
"67","181624",2022-09-07,-0.000275681678544582,0.00201282655926452,10.0473105595259,10.0472845671286,0.00428717235467925,0.00428716773907853,0.00203161786417418,NA,c(-109.555289999312, 26.6939773954886),43.7432229940353,0.0437432229940353,24,-109.555289999312,26.6939773954886
"68","181624",2022-09-08,0.000313412181726899,0.000345824560890199,6.36384759560154,6.36384348168344,152.730574557474,152.730475824582,0.000466723573199876,NA,c(-109.555222430473, 26.6940443692919),10.0258858475574,0.0100258858475574,24,-109.555222430473,26.6940443692919
"69","181624",2022-09-09,0.000284930410788049,-0.000207942910461729,6.36370028651481,6.36369617269194,0.00370342746051584,0.00370342701301092,0.000352740121156032,NA,c(-109.555161000711, 26.6940041004661),7.5691640722871,0.0075691640722871,24,-109.555161000711,26.6940041004661
"70","181624",2022-09-10,-0.00036114128729697,0.00035154991488025,6.22290392935231,6.22290209575804,149.34796572031,149.347921714557,0.000503984541919482,NA,c(-109.555238859596, 26.6940721779964),10.8226705869804,0.0108226705869804,24,-109.555238859596,26.6940721779964
"71","181624",2022-09-11,0.00344093652716653,-0.000755351387300991,6.22275988300134,6.22275804944951,0.00368490078170349,0.00368490064124398,0.00352286813543086,NA,c(-109.554497008586, 26.6939259016931),75.4717905891382,0.0754717905891382,24,-109.554497008586,26.6939259016931
