tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233812,Beluga,2022,5-Jul-22,-150.4874115,61.257946,19,Limnodromus griseus,634768.863,6794110.637,5N
233812,Beluga,2022,9-Jul-22,-150.4871826,61.257946,12,Limnodromus griseus,634781.1364,6794111.109,5N
233812,Beluga,2022,11-Jul-22,-150.484955,61.2599411,19,Limnodromus griseus,634892.0237,6794337.824,5N
233812,Beluga,2022,13-Jul-22,-150.483063,61.2587395,14,Limnodromus griseus,634998.6201,6794207.956,5N
233812,Beluga,2022,15-Jul-22,-147.606003,60.9575539,25,Limnodromus griseus,467180.4185,6758211.266,6N
233812,Beluga,2022,17-Jul-22,-145.360123,60.2842484,19,Limnodromus griseus,590676.4557,6684195.079,6N
233812,Beluga,2022,19-Jul-22,-145.269257,60.342411,23,Limnodromus griseus,595530.1008,6690799.69,6N
233812,Beluga,2022,21-Jul-22,-145.329773,60.2831993,-1,Limnodromus griseus,592357.3677,6684120.37,6N
233812,Beluga,2022,23-Jul-22,-145.330368,60.2818451,0,Limnodromus griseus,592328.2884,6683968.749,6N
233812,Beluga,2022,25-Jul-22,-144.22731,60.1052284,17,Limnodromus griseus,654132.5508,6666364.483,6N
233812,Beluga,2022,25-Jul-22,-144.22731,60.1052284,17,Limnodromus griseus,654132.5508,6666364.483,6N
233812,Beluga,2022,27-Jul-22,-144.178497,60.1341057,24,Limnodromus griseus,656707.6005,6669693.464,6N
233812,Beluga,2022,29-Jul-22,-145.665543,60.3630981,23,Limnodromus griseus,573612.375,6692594.86,6N
233812,Beluga,2022,29-Jul-22,-145.665543,60.3630981,23,Limnodromus griseus,573612.375,6692594.86,6N
233812,Beluga,2022,31-Jul-22,-145.269089,60.342617,23,Limnodromus griseus,595538.7699,6690822.872,6N
233812,Beluga,2022,2-Aug-22,-145.431,60.3812981,19,Limnodromus griseus,586500.6402,6694906.437,6N
233812,Beluga,2022,4-Aug-22,-145.430878,60.3826065,45,Limnodromus griseus,586503.8958,6695052.291,6N
233812,Beluga,2022,4-Aug-22,-145.430878,60.3826065,45,Limnodromus griseus,586503.8958,6695052.291,6N
233812,Beluga,2022,6-Aug-22,-145.431381,60.3829117,30,Limnodromus griseus,586475.3604,6695085.616,6N
233812,Beluga,2022,6-Aug-22,-145.431381,60.3829117,30,Limnodromus griseus,586475.3604,6695085.616,6N
233812,Beluga,2022,12-Aug-22,-145.421021,60.3760757,23,Limnodromus griseus,587064.6572,6694338.05,6N
233812,Beluga,2022,12-Aug-22,-145.421021,60.3760757,23,Limnodromus griseus,587064.6572,6694338.05,6N
233812,Beluga,2022,14-Aug-22,-145.419205,60.3753853,0,Limnodromus griseus,587166.6224,6694263.573,6N
233812,Beluga,2022,16-Aug-22,-145.421036,60.3761024,32,Limnodromus griseus,587063.7589,6694341.003,6N
233812,Beluga,2022,18-Aug-22,-145.421478,60.3762817,0,Limnodromus griseus,587038.912,6694360.385,6N
233812,Beluga,2022,22-Aug-22,-145.420837,60.3759995,26,Limnodromus griseus,587075.0049,6694329.808,6N
233812,Beluga,2022,24-Aug-22,-145.421097,60.3761292,20,Limnodromus griseus,587060.3243,6694343.907,6N
233812,Beluga,2022,24-Aug-22,-145.421097,60.3761292,20,Limnodromus griseus,587060.3243,6694343.907,6N
233812,Beluga,2022,28-Aug-22,-145.421066,60.3761024,23,Limnodromus griseus,587062.1049,6694340.964,6N
233812,Beluga,2022,30-Aug-22,-145.421097,60.3760757,24,Limnodromus griseus,587060.4671,6694337.95,6N
181625,Beluga,2022,25-Jun-22,-150.9251709,61.2120209,.,Limnodromus griseus,611457.0626,6788172.513,5N
181625,Beluga,2022,30-Jun-22,-150.9511566,61.2188797,.,Limnodromus griseus,610037.5205,6788892.207,5N
181625,Beluga,2022,1-Jul-22,-150.9510498,61.2188797,.,Limnodromus griseus,610043.2551,6788892.386,5N
181625,Beluga,2022,3-Jul-22,-150.9255524,61.2124786,.,Limnodromus griseus,611434.9558,6788222.827,5N
181625,Beluga,2022,5-Jul-22,-150.8340302,61.2454529,.,Limnodromus griseus,616228.3862,6792053.849,5N
181625,Beluga,2022,7-Jul-22,-150.8327484,61.2451439,.,Limnodromus griseus,616298.2929,6792021.724,5N
181625,Beluga,2022,9-Jul-22,-150.8327332,61.2452736,.,Limnodromus griseus,616298.6292,6792036.193,5N
181625,Beluga,2022,11-Jul-22,-150.8330841,61.2448654,.,Limnodromus griseus,616281.312,6791990.117,5N
181625,Beluga,2022,13-Jul-22,-142.7277679,57.2551537,.,Limnodromus griseus,395767.6756,6347111.013,7N
181625,Beluga,2022,15-Jul-22,-124.1620636,40.8410492,.,Limnodromus griseus,402033.2777,4521762.001,10N
181625,Beluga,2022,17-Jul-22,-122.2304153,37.513588,.,Limnodromus griseus,568011.854,4152126.986,10N
181625,Beluga,2022,19-Jul-22,-122.245079,37.5182991,.,Limnodromus griseus,566711.7394,4152639.161,10N
181625,Beluga,2022,21-Jul-22,-122.2457504,37.5169907,.,Limnodromus griseus,566653.5712,4152493.524,10N
181625,Beluga,2022,23-Jul-22,-115.9666824,30.3954296,.,Limnodromus griseus,599266.2531,3363056.408,11N
181625,Beluga,2022,25-Jul-22,-114.1791382,27.7489281,.,Limnodromus griseus,778058.5152,3072578.988,11N
181625,Beluga,2022,27-Jul-22,-114.1794968,27.7496967,.,Limnodromus griseus,778021.1966,3072663.374,11N
181625,Beluga,2022,29-Jul-22,-114.1903992,27.7281666,.,Limnodromus griseus,777000.5529,3070252.212,11N
181625,Beluga,2022,31-Jul-22,-114.1861725,27.7218952,.,Limnodromus griseus,777433.3533,3069566.573,11N
181625,Beluga,2022,8-Aug-22,-114.1811829,27.7525368,.,Limnodromus griseus,777847.7009,3072974.379,11N
181625,Beluga,2022,10-Aug-22,-114.2343826,27.7005692,.,Limnodromus griseus,772730.9831,3067094.913,11N
181625,Beluga,2022,12-Aug-22,-114.2247314,27.7119865,.,Limnodromus griseus,773654.6364,3068381.879,11N
181625,Beluga,2022,14-Aug-22,-114.2267761,27.71278,.,Limnodromus griseus,773450.948,3068465.289,11N
181625,Beluga,2022,16-Aug-22,-114.2341537,27.698061,.,Limnodromus griseus,772759.8094,3066817.401,11N
181625,Beluga,2022,18-Aug-22,-114.2335587,27.6958599,.,Limnodromus griseus,772823.9924,3066574.74,11N
181625,Beluga,2022,20-Aug-22,-114.1812897,27.7524872,.,Limnodromus griseus,777837.295,3072968.64,11N
181625,Beluga,2022,22-Aug-22,-114.1810532,27.7523327,.,Limnodromus griseus,777861.0099,3072952.048,11N
