,id,date,u,v,u.se,v.se,x.se,y.se,s,s.se,geometry,dist_to_next_m,dis_to_next_km,timetilnext,lon,lat,
52,181624,8/23/22,-0.323133327,0.288239823,10.70188906,10.70190655,256.8423646,256.8427844,0.433016962,NA,c(-109.625978339269, 26.7501646492689),9294.214988,9.294214988,24,-109.6259783,26.75016465
53,181624,8/24/22,-0.004142348,0.003676718,8.207176377,8.207183744,327.6123758,327.6131336,0.00553871,NA,c(-109.626871411644, 26.7508763006659),118.8508611,0.118850861,24,-109.6268714,26.7508763
54,181624,8/25/22,0.161511717,-0.143732995,8.467485156,8.467494626,241.8019355,241.8022565,0.216206403,NA,c(-109.592050185056, 26.7230525447423),4639.992635,4.639992635,24,-109.5920502,26.72305254
55,181624,8/26/22,0.17382887,-0.153989317,10.07496404,10.07497741,0.004292177,0.00429218,0.232226583,NA,c(-109.554573433757, 26.6932357451465),4985.008725,4.985008725,24,-109.5545734,26.69323575
56,181624,8/27/22,0.032807334,-0.02709066,6.600745831,6.600742117,158.4160664,158.4159773,0.042548933,NA,c(-109.547499962731, 26.6879891068726),913.3345575,0.913334558,24,-109.5475,26.68798911
57,181624,8/28/22,-0.03124812,0.029601697,6.600593039,6.600589324,0.003735286,0.003735286,0.043043065,NA,c(-109.554236922025, 26.693721733651),924.2744619,0.924274462,24,-109.5542369,26.69372173
58,181624,8/29/22,-0.018335711,0.01608613,11.57993959,11.57993196,277.9153335,277.9151504,0.024392056,NA,c(-109.558190054114, 26.6968368611133),523.6493363,0.523649336,24,-109.5581901,26.69683686
59,181624,8/30/22,-0.008078831,0.005563664,11.22800206,11.2279445,454.20459,454.2025654,0.009809275,NA,c(-109.559931815166, 26.6979142509383),210.4538565,0.210453857,24,-109.5599318,26.69791425
60,181624,8/31/22,-0.000477512,-0.001965666,9.954118412,9.954107207,522.9578184,522.9547512,0.002022834,NA,c(-109.560034764639, 26.6975336058285),43.54390895,0.043543909,24,-109.5600348,26.69753361
61,181624,9/1/22,0.004468248,-0.00650186,9.807907915,9.807895528,468.6336609,468.6310034,0.007889197,NA,c(-109.559071429769, 26.6962745314731),169.5850359,0.169585036,24,-109.5590714,26.69627453
62,181624,9/2/22,0.006758447,-0.008044919,11.13104907,11.13100684,296.0420085,296.040707,0.010507013,NA,c(-109.557614337795, 26.6947166269082),225.7476012,0.225747601,24,-109.5576143,26.69471663
63,181624,9/3/22,0.006393087,-0.006594842,12.33494092,12.33488669,0.004725531,0.00472552,0.009184961,NA,c(-109.556236015953, 26.6934395147814),197.2703874,0.197270387,24,-109.556236,26.69343951
64,181624,9/4/22,0.003372136,-0.002151595,10.69337875,10.69334672,256.6381196,256.6373509,0.004000139,NA,c(-109.555508990568, 26.6930228385628),85.80949985,0.0858095,24,-109.555509,26.69302284
65,181624,9/5/22,0.001253685,0.000764108,8.19969584,8.199686929,327.0690543,327.0679528,0.001468192,NA,c(-109.555238701448, 26.6931708118312),31.49201968,0.03149202,24,-109.5552387,26.69317081
66,181624,9/6/22,3.77E-05,0.002152249,8.4676066,8.467593211,241.1382443,241.1376205,0.00215258,NA,c(-109.555230563536, 26.6935876041957),46.35232002,0.04635232,24,-109.5552306,26.6935876
67,181624,9/7/22,-0.000275682,0.002012827,10.04731056,10.04728457,0.004287172,0.004287168,0.002031618,NA,c(-109.555289999312, 26.6939773954886),43.74322299,0.043743223,24,-109.55529,26.6939774
68,181624,9/8/22,0.000313412,0.000345825,6.363847596,6.363843482,152.7305746,152.7304758,0.000466724,NA,c(-109.555222430473, 26.6940443692919),10.02588585,0.010025886,24,-109.5552224,26.69404437
69,181624,9/9/22,0.00028493,-0.000207943,6.363700287,6.363696173,0.003703427,0.003703427,0.00035274,NA,c(-109.555161000711, 26.6940041004661),7.569164072,0.007569164,24,-109.555161,26.6940041
70,181624,9/10/22,-0.000361141,0.00035155,6.222903929,6.222902096,149.3479657,149.3479217,0.000503985,NA,c(-109.555238859596, 26.6940721779964),10.82267059,0.010822671,24,-109.5552389,26.69407218
71,181624,9/11/22,0.003440937,-0.000755351,6.222759883,6.222758049,0.003684901,0.003684901,0.003522868,NA,c(-109.554497008586, 26.6939259016931),75.47179059,0.075471791,24,-109.554497,26.6939259
72,181624,9/12/22,0.011691267,-0.003528685,6.233912002,6.233908103,149.6121564,149.6120628,0.012212079,NA,c(-109.551976442691, 26.6932425637563),261.6780474,0.261678047,24,-109.5519764,26.69324256
73,181624,9/13/22,-0.010025861,0.00181474,6.233767701,6.233763802,0.003686336,0.003686336,0.010188777,NA,c(-109.554137974981, 26.6935939959323),218.2625237,0.218262524,24,-109.554138,26.693594
74,181624,9/14/22,-0.061711142,0.015275112,6.730412574,6.730408855,161.5280322,161.527943,0.063572915,NA,c(-109.56744250088, 26.6965520136798),1362.021062,1.362021062,24,-109.5674425,26.69655201
75,181624,9/15/22,-0.087554081,0.022005376,6.73025678,6.730253061,0.003753099,0.003753099,0.090277094,NA,c(-109.586318781524, 26.700813250681),1934.102316,1.934102316,24,-109.5863188,26.70081325
76,181624,9/16/22,-0.087554081,0.022005376,16.24844959,16.24844805,389.9582767,389.9582398,0.090277094,NA,c(-109.605195062169, 26.7050743265833),1934.029923,1.934029923,-1992,-109.6051951,26.70507433
77,181625,6/25/22,-1.97E-14,1.07E-14,1.00E-05,1.00E-05,1.00E-05,1.00E-05,9.88131291682493e-323,NA,c(-150.9251709, 61.2120209),4914445.651,4914.445651,24,-150.9251709,61.2120209
78,181625,6/26/22,-0.017312844,0.00942364,6.467735109,6.467738866,155.223846,155.2239362,0.019711179,NA,c(-150.928903431056, 61.2130008059902),227.6386413,0.227638641,24,-150.9289034,61.21300081
79,181625,6/27/22,-0.027667585,0.015077856,6.067274244,6.067275872,234.3845138,234.3846957,0.031509316,NA,c(-150.934868442599, 61.2145686134092),363.8773836,0.363877384,24,-150.9348684,61.21456861
80,181625,6/28/22,-0.031064142,0.016962604,5.488046401,5.488046447,234.3854976,234.385634,0.035393656,NA,c(-150.941565737097, 61.2163323048367),408.713504,0.408713504,24,-150.9415657,61.2163323
81,181625,6/29/22,-0.027502515,0.015077885,6.067247729,6.067250693,155.2267131,155.2267578,0.031364485,NA,c(-150.947495160216, 61.2178999488468),362.1676834,0.362167683,24,-150.9474952,61.21789995
82,181625,6/30/22,-0.016982704,0.009423698,6.467704852,6.467706716,0.003757667,0.003757668,0.019422109,NA,c(-150.951156557623, 61.2188796886607),224.2607449,0.224260745,24,-150.9511566,61.21887969
83,181625,7/1/22,0.000495372,-1.76E-11,0.000194476,0.000194476,0.003300332,0.003300333,0.000495169,NA,c(-150.951049801236, 61.2188796999994),5.715367441,0.005715367,24,-150.9510498,61.2188797
84,181625,7/2/22,0.034933297,-0.065428107,3.88238288,3.88238416,93.17611068,93.1761414,0.074169034,NA,c(-150.943518419596, 61.2120768793708),857.2109722,0.857210972,24,-150.9435184,61.21207688
85,181625,7/3/22,0.083331042,0.003863182,3.882293011,3.882294292,0.003472071,0.003472072,0.083420541,NA,c(-150.925552607939, 61.2124785953513),963.0655646,0.963065565,24,-150.9255526,61.2124786
86,181625,7/4/22,0.145688929,0.207876986,3.941558794,3.941559315,94.59631619,94.59632868,0.253844269,NA,c(-150.894142861625, 61.234087020675),2932.591947,2.932591947,24,-150.8941429,61.23408702
87,181625,7/5/22,0.27881806,0.109396817,3.941467556,3.941468077,0.003477212,0.003477212,0.299511559,NA,c(-150.834030895739, 61.2454527684729),3455.46061,3.45546061,24,-150.8340309,61.24545277
88,181625,7/6/22,0.482720073,-0.291584328,4.025483067,4.025483315,96.61047542,96.61048137,0.563946012,NA,c(-150.729959047723, 61.2151500417893),6509.556894,6.509556894,24,-150.729959,61.21515004
89,181625,7/7/22,-0.47676358,0.288602923,4.025389886,4.025390134,0.003484622,0.003484623,0.557310648,NA,c(-150.832747210324, 61.2451435530221),6433.005862,6.433005862,24,-150.8327472,61.24514355
90,181625,7/8/22,-2.599659831,1.849981282,6.202824037,6.202824444,148.8660539,148.8660637,3.190684468,NA,c(-151.393217311554, 61.4367236883279),36703.64809,36.70364809,24,-151.3932173,61.43672369
91,181625,7/9/22,-2.409129512,1.734285997,5.196361768,5.196359995,196.2559199,196.2558906,2.968442846,NA,c(-151.912615198599, 61.6152589538148),33945.23789,33.94523789,24,-151.9126152,61.61525895
92,181625,7/10/22,0.094854154,-0.058502342,5.196329072,5.196330091,148.8687486,148.8686976,0.11144431,NA,c(-151.892165054067, 61.6092532146173),1270.743966,1.270743966,24,-151.8921651,61.60925321
93,181625,7/11/22,4.912291166,-3.528383735,6.202792734,6.202790607,0.003723045,0.003723045,6.048148169,NA,c(-150.833096357862, 61.244869642197),69381.74168,69.38174168,24,-150.8330964,61.24486964
94,181625,7/12/22,12.0432083,-8.675377593,4.025541711,4.025541854,96.61188285,96.61188628,14.84243986,NA,c(-148.236650611136, 60.3306537989393),173727.133,173.727133,24,-148.2366506,60.3306538
95,181625,7/13/22,25.55162169,-27.5031079,4.025448528,4.025448671,0.003484628,0.003484629,37.54072875,NA,c(-142.727831659663, 57.255190894647),466263.7428,466.2637428,24,-142.7278317,57.25519089
96,181625,7/14/22,45.43767896,-60.01189133,3.943269781,3.943270011,94.63737939,94.63738491,75.27246307,NA,c(-132.931714523386, 49.5502338837735),1072850.451,1072.850451,24,-132.9317145,49.55023388
97,181625,7/15/22,40.67590734,-57.30085138,3.943178503,3.943178733,0.003477361,0.003477362,70.27031385,NA,c(-124.162165099769, 40.8411577888135),1185689.805,1185.689805,24,-124.1621651,40.84115779
98,181625,7/16/22,11.26573627,-19.36917277,3.940823692,3.940824636,94.57867393,94.57869659,22.40772957,NA,c(-121.733247773368, 37.59372175197),417300.1227,417.3001227,24,-121.7332478,37.59372175
99,181625,7/17/22,-2.305991467,-0.466853395,3.940732471,3.940733415,0.003477147,0.003477148,2.352774691,NA,c(-122.230409545135, 37.5135889272614),44723.14052,44.72314052,24,-122.2304095,37.51358893
100,181625,7/18/22,-0.038909236,-0.59433375,3.940823927,3.940823926,94.57867958,94.57867954,0.595606263,NA,c(-122.23880386555, 37.4114493862045),11381.55677,11.38155677,24,-122.2388039,37.41144939
101,181625,7/19/22,-0.029105696,0.621752521,3.940732706,3.940732704,0.003477147,0.003477148,0.622433401,NA,c(-122.245078927438, 37.5182978642369),11893.92849,11.89392849,24,-122.2450789,37.51829786
102,181625,7/20/22,-2.2766331,3.181436523,3.943269938,3.943270878,94.63738315,94.63740572,3.912069745,NA,c(-122.735905553812, 38.0626100961535),74319.81347,74.31981347,24,-122.7359056,38.0626101
103,181625,7/21/22,2.273466277,-3.188981813,3.94317866,3.9431796,0.003477361,0.003477362,3.916408291,NA,c(-122.245756073003, 37.5169970384417),74403.41593,74.40341593,24,-122.2457561,37.51699704
104,181625,7/22/22,13.62134979,-18.4897092,4.025544567,4.025544919,96.6119514,96.61195985,22.96519954,NA,c(-119.309080379831, 34.2743928688443),447131.7541,447.1317541,24,-119.3090804,34.27439287
105,181625,7/23/22,15.50290561,-21.19887324,4.025451384,4.025451737,0.003484627,0.003484628,26.26275518,NA,c(-115.966721084943, 30.3954754564051),533436.0213,533.4360213,24,-115.9667211,30.39547546
106,181625,7/24/22,7.917914619,-11.31618246,6.202994888,6.202996527,148.8701543,148.8701936,13.8113481,NA,c(-114.259634064825, 28.2577110939848),289632.059,289.632059,24,-114.2596341,28.25771109
107,181625,7/25/22,2.545705562,-4.23372678,5.196528692,5.196531639,196.2671284,196.2672662,4.940147695,NA,c(-113.710790973278, 27.4464353641553),105115.6159,105.1156159,24,-113.710791,27.44643536
108,181625,7/26/22,-0.613695947,0.048461392,5.196330252,5.196332473,148.8829709,148.8830314,0.615606386,NA,c(-113.843101161162, 27.4557562336726),13096.78783,13.09678783,24,-113.8431012,27.45575623
109,181625,7/27/22,-1.560289908,1.530382052,6.203385321,6.203387842,0.003723121,0.003723122,2.185537422,NA,c(-114.179492906508, 27.7496933024823),46551.41167,46.55141167,24,-114.1794929,27.7496933
110,181625,7/28/22,-0.294050709,0.212002791,4.03106084,4.03106196,96.74434041,96.74436729,0.362527368,NA,c(-114.242892125348, 27.7903522079785),7703.856894,7.703856894,24,-114.2428921,27.79035221
111,181625,7/29/22,0.243475753,-0.324234056,4.030967529,4.030968649,0.00348512,0.003485121,0.405472768,NA,c(-114.190399807579, 27.7281673199666),8630.820727,8.630820727,24,-114.1903998,27.72816732
112,181625,7/30/22,0.052272611,-0.078310383,4.115845768,4.115844255,98.77915516,98.77911884,0.094157417,NA,c(-114.179129581886, 27.713142236232),2005.485012,2.005485012,24,-114.1791296,27.71314224
113,181625,7/31/22,-0.032666874,0.045620046,4.115750496,4.115748983,0.003492757,0.003492758,0.056109832,NA,c(-114.186172418481, 27.7218950986928),1194.940514,1.194940514,24,-114.1861724,27.7218951
114,181625,8/1/22,-0.011340243,0.047554408,7.915772358,7.915739114,189.9763378,189.9755399,0.048887895,NA,c(-114.188617379062, 27.7310183362442),1042.612516,1.042612516,24,-114.1886174,27.73101834
115,181625,8/2/22,0.004233095,0.046216618,8.344972033,8.344923997,337.4929075,337.4906625,0.046410073,NA,c(-114.187704742024, 27.7398841857352),989.9224449,0.989922445,24,-114.1877047,27.73988419
