id,date,lc,lon,lat
233815_King_Salmon,2022-09-01 00:00:00,G,-114.078705,27.6796799
233815_King_Salmon,2022-09-03 00:00:00,G,-114.065346,27.6851845
233815_King_Salmon,2022-09-05 00:00:00,G,-114.060402,27.671257
233815_King_Salmon,2022-09-07 00:00:00,G,-114.065315,27.685236
233815_King_Salmon,2022-09-09 00:00:00,G,-114.064781,27.6834431
233815_King_Salmon,2022-09-11 00:00:00,G,-114.065117,27.6825218
233815_King_Salmon,2022-09-13 00:00:00,G,-114.065521,27.682394
233815_King_Salmon,2022-09-15 00:00:00,G,-114.054108,27.6880264
233815_King_Salmon,2022-09-17 00:00:00,G,-114.065292,27.6854649
233815_King_Salmon,2022-09-19 00:00:00,G,-114.064629,27.6843128
233815_King_Salmon,2022-09-21 00:00:00,G,-114.064911,27.6847744
233815_King_Salmon,2022-09-23 00:00:00,G,-114.067825,27.6817017
233815_King_Salmon,2022-09-25 00:00:00,G,-114.080215,27.6758919
233815_King_Salmon,2022-09-27 00:00:00,G,-114.074379,27.6787319
233816_King_Salmon,2022-06-05 00:00:00,G,-156.7175598,58.7134094
233816_King_Salmon,2022-06-10 00:00:00,G,-156.7113342,58.7135353
233816_King_Salmon,2022-06-15 00:00:00,G,-156.713562,58.7142525
233816_King_Salmon,2022-06-20 00:00:00,G,-156.7127991,58.7142029
233816_King_Salmon,2022-06-25 00:00:00,G,-156.7107239,58.7146378
233816_King_Salmon,2022-06-30 00:00:00,G,-156.9972076,58.8073845
233816_King_Salmon,2022-07-01 00:00:00,G,-156.9969025,58.8074112
233816_King_Salmon,2022-07-03 00:00:00,G,-157.0128021,58.8027267
233816_King_Salmon,2022-07-05 00:00:00,G,-157.0827942,58.7448196
233816_King_Salmon,2022-07-07 00:00:00,G,-157.0820007,58.7463036
233816_King_Salmon,2022-07-09 00:00:00,G,-157.081924,58.7421074
233816_King_Salmon,2022-07-11 00:00:00,G,-157.082352,58.7428474
233816_King_Salmon,2022-07-15 00:00:00,G,-120.84433,35.3407097
233816_King_Salmon,2022-07-17 00:00:00,G,-120.843124,35.3417091
233816_King_Salmon,2022-07-19 00:00:00,G,-120.842583,35.3436546
233816_King_Salmon,2022-07-21 00:00:00,G,-120.842766,35.3437576
233816_King_Salmon,2022-07-23 00:00:00,G,-120.843658,35.3442955
233816_King_Salmon,2022-07-25 00:00:00,G,-110.341133,27.1929989
233816_King_Salmon,2022-07-27 00:00:00,G,-109.776245,26.7705212
233816_King_Salmon,2022-07-29 00:00:00,G,-109.773811,26.7693958
233816_King_Salmon,2022-07-31 00:00:00,G,-109.822655,26.787878
233816_King_Salmon,2022-08-02 00:00:00,G,-109.776344,26.7682953
233816_King_Salmon,2022-08-04 00:00:00,G,-109.822403,26.7825031
233816_King_Salmon,2022-08-06 00:00:00,G,-109.780952,26.7666302
233816_King_Salmon,2022-08-08 00:00:00,G,-109.823273,26.7876472
233816_King_Salmon,2022-08-10 00:00:00,G,-109.811264,26.7901573
233816_King_Salmon,2022-08-12 00:00:00,G,-109.821556,26.7870083
233816_King_Salmon,2022-08-14 00:00:00,G,-109.823502,26.7883129
233816_King_Salmon,2022-08-16 00:00:00,G,-109.821091,26.7867775
233816_King_Salmon,2022-08-18 00:00:00,G,-109.824547,26.7869816
233816_King_Salmon,2022-08-20 00:00:00,G,-109.823753,26.787878
233816_King_Salmon,2022-08-22 00:00:00,G,-109.823318,26.7869568
233816_King_Salmon,2022-08-24 00:00:00,G,-109.824371,26.7873669
233816_King_Salmon,2022-08-26 00:00:00,G,-109.82296,26.7874947
233816_King_Salmon,2022-08-28 00:00:00,G,-109.82235,26.7876472
233816_King_Salmon,2022-08-30 00:00:00,G,-109.824806,26.7863426
233816_King_Salmon,2022-09-01 00:00:00,G,-109.821732,26.7871876
233816_King_Salmon,2022-09-03 00:00:00,G,-109.819305,26.7868538
233816_King_Salmon,2022-09-05 00:00:00,G,-109.823166,26.7872124
233816_King_Salmon,2022-09-07 00:00:00,G,-109.804787,26.8004475
233816_King_Salmon,2022-09-09 00:00:00,G,-109.814156,26.7872391
233816_King_Salmon,2022-09-11 00:00:00,G,-109.821915,26.7870331
233816_King_Salmon,2022-09-13 00:00:00,G,-109.811928,26.7866745
233816_King_Salmon,2022-09-15 00:00:00,G,-109.811958,26.786726
233816_King_Salmon,2022-09-17 00:00:00,G,-109.811699,26.7958908
233816_King_Salmon,2022-09-19 00:00:00,G,-109.803223,26.7963257
233817_King_Salmon,2022-06-05 00:00:00,G,-156.7088013,58.7091064
233817_King_Salmon,2022-06-10 00:00:00,G,-156.7088013,58.709671
233817_King_Salmon,2022-06-15 00:00:00,G,-156.7087708,58.7091331
233817_King_Salmon,2022-06-20 00:00:00,G,-156.7304535,58.7205238
233817_King_Salmon,2022-06-25 00:00:00,G,-156.7137451,58.7236481
233817_King_Salmon,2022-06-30 00:00:00,G,-156.7302551,58.7204208
233817_King_Salmon,2022-07-01 00:00:00,G,-156.7291565,58.7199097
233817_King_Salmon,2022-07-03 00:00:00,G,-156.7302246,58.7204475
233817_King_Salmon,2022-07-05 00:00:00,G,-142.8343201,49.2754555
233817_King_Salmon,2022-07-07 00:00:00,G,-123.8762589,40.7041168
233817_King_Salmon,2022-07-09 00:00:00,G,-122.216232,37.7471619
233817_King_Salmon,2022-07-11 00:00:00,G,-122.216919,37.7470856
233817_King_Salmon,2022-07-13 00:00:00,G,-122.215332,37.746521
233817_King_Salmon,2022-07-15 00:00:00,G,-122.215408,37.7442436
233817_King_Salmon,2022-07-17 00:00:00,G,-122.216331,37.7468796
233817_King_Salmon,2022-07-19 00:00:00,G,-117.097847,32.6181488
233817_King_Salmon,2022-07-21 00:00:00,G,-112.195824,28.9739132
233817_King_Salmon,2022-07-23 00:00:00,G,-112.198128,28.9735031
233817_King_Salmon,2022-07-25 00:00:00,G,-112.195442,28.9736328
233817_King_Salmon,2022-07-27 00:00:00,G,-111.907646,28.8271751
233817_King_Salmon,2022-07-29 00:00:00,G,-111.906677,28.8270473
233817_King_Salmon,2022-07-31 00:00:00,G,-111.907188,28.8273544
233817_King_Salmon,2022-08-02 00:00:00,G,-111.908211,28.8269176
233817_King_Salmon,2022-08-04 00:00:00,G,-107.944176,24.7619705
233817_King_Salmon,2022-08-06 00:00:00,G,-107.652412,24.5047932
233817_King_Salmon,2022-08-08 00:00:00,G,-107.670647,24.528244
233817_King_Salmon,2022-08-10 00:00:00,G,-107.659813,24.5505409
233817_King_Salmon,2022-08-12 00:00:00,G,-107.662857,24.5321865
233817_King_Salmon,2022-08-14 00:00:00,G,-107.656746,24.534029
233817_King_Salmon,2022-08-16 00:00:00,G,-107.656975,24.5400696
233817_King_Salmon,2022-08-18 00:00:00,G,-107.666496,24.5419388
233817_King_Salmon,2022-08-20 00:00:00,G,-107.911255,24.7649403
233817_King_Salmon,2022-08-22 00:00:00,G,-107.968086,24.7571068
233817_King_Salmon,2022-08-24 00:00:00,G,-107.967888,24.7569542
233817_King_Salmon,2022-08-26 00:00:00,G,-107.914505,24.7670135
233817_King_Salmon,2022-08-28 00:00:00,G,-107.967812,24.7572346
233817_King_Salmon,2022-09-03 00:00:00,G,-107.967934,24.7571068
233817_King_Salmon,2022-09-05 00:00:00,G,-107.966476,24.7604351
233818_King_Salmon,2022-06-05 00:00:00,G,-156.7175293,58.7133827
233818_King_Salmon,2022-06-10 00:00:00,G,-156.7113342,58.7135353
233818_King_Salmon,2022-06-15 00:00:00,G,-156.7233124,58.6617966
233818_King_Salmon,2022-06-20 00:00:00,G,-157.6691132,57.5168915
233818_King_Salmon,2022-06-25 00:00:00,G,-157.6623993,57.5095406
233818_King_Salmon,2022-06-30 00:00:00,G,-156.7095947,58.7403374
233818_King_Salmon,2022-07-01 00:00:00,G,-156.6776886,58.7373428
233818_King_Salmon,2022-07-03 00:00:00,G,-157.0317383,58.9485435
233818_King_Salmon,2022-07-05 00:00:00,G,-157.0393677,58.9240723
233818_King_Salmon,2022-07-07 00:00:00,G,-157.0307465,58.9217682
233818_King_Salmon,2022-07-09 00:00:00,G,-157.035049,58.9256592
233818_King_Salmon,2022-07-11 00:00:00,G,-156.989532,58.8614006
233818_King_Salmon,2022-07-13 00:00:00,G,-124.116394,40.8461685
233818_King_Salmon,2022-07-15 00:00:00,G,-124.174324,40.8222084
233818_King_Salmon,2022-07-17 00:00:00,G,-124.171326,40.8279419
233818_King_Salmon,2022-07-19 00:00:00,G,-124.169205,40.8176765
233818_King_Salmon,2022-07-21 00:00:00,G,-124.170563,40.8300171
233818_King_Salmon,2022-07-23 00:00:00,G,-124.155075,40.8580208
233818_King_Salmon,2022-07-25 00:00:00,G,-114.063217,28.1512833
233818_King_Salmon,2022-07-27 00:00:00,G,-114.053749,28.1579647
233818_King_Salmon,2022-07-29 00:00:00,G,-114.236938,27.7004414
233818_King_Salmon,2022-07-31 00:00:00,G,-114.23671,27.7009277
233818_King_Salmon,2022-08-02 00:00:00,G,-114.229721,27.7087097
233818_King_Salmon,2022-08-04 00:00:00,G,-114.237526,27.7007751
233818_King_Salmon,2022-08-06 00:00:00,G,-114.24247,27.7017727
233818_King_Salmon,2022-08-08 00:00:00,G,-114.240982,27.7014904
233818_King_Salmon,2022-08-10 00:00:00,G,-114.236687,27.6999035
233818_King_Salmon,2022-08-12 00:00:00,G,-114.236458,27.7011833
233818_King_Salmon,2022-08-14 00:00:00,G,-114.234482,27.7013378
233818_King_Salmon,2022-08-16 00:00:00,G,-114.236534,27.700058
233818_King_Salmon,2022-08-18 00:00:00,G,-114.239754,27.699852
233818_King_Salmon,2022-08-20 00:00:00,G,-114.239502,27.699852
233818_King_Salmon,2022-08-22 00:00:00,G,-114.236275,27.7002888
233818_King_Salmon,2022-08-24 00:00:00,G,-114.236427,27.700058
233818_King_Salmon,2022-08-26 00:00:00,G,-114.235939,27.7014408
233818_King_Salmon,2022-08-28 00:00:00,G,-114.224861,27.7062531
233818_King_Salmon,2022-08-30 00:00:00,G,-114.236816,27.6998272
