event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23461776273,TRUE,2022-08-06,-145.456085,60.3929214,,3D,111,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",97.96145591,3.151620588,3.012142318,-0.301627365
23357225721,TRUE,2022-07-29,-151.240738,61.2503929,,3D,110,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",101.3089205,NaN,NaN,NaN
23370626593,TRUE,2022-07-29,-151.240738,61.2503929,,3D,110,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",101.3089205,NaN,NaN,NaN
23370626595,TRUE,2022-08-02,-151.240997,61.2505226,,3D,110,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",101.3087831,0.093495237,1.142434499,-0.153153367
23522697359,TRUE,2022-08-22,-151.240768,61.2503662,,3D,110,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",101.3087054,NaN,NaN,NaN
23357225716,TRUE,2022-07-21,-151.240921,61.2504196,,3D,109,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",100.3085135,0.171652649,4.424539246,-0.099718481
23854283892,TRUE,2022-09-29,-151.240845,61.2504196,,3D,108,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",99.30873543,-1.189974309,-4.004308572,0.039451402
23753207826,TRUE,2022-09-21,-151.240891,61.2503662,,3D,106,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",97.3083462,-0.650687574,-2.395337694,0.150429098
23854283890,TRUE,2022-09-21,-151.240891,61.2503662,,3D,106,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",97.3083462,-0.650687574,-2.395337694,0.150429098
23753207836,TRUE,2022-09-17,-151.240738,61.2503929,,3D,105,,FALSE,G,OK,,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",96.30892048,NaN,NaN,NaN
23391318441,TRUE,2022-08-10,-151.240921,61.2504196,,3D,103,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",94.30851346,NaN,NaN,NaN
23501430304,TRUE,2022-08-10,-151.240921,61.2504196,,3D,103,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",94.30851346,NaN,NaN,NaN
23404127962,TRUE,2022-08-10,-151.240875,61.2503929,,3D,99,,FALSE,G,OK,,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",90.30852037,NaN,NaN,NaN
23357225717,TRUE,2022-07-23,-151.240921,61.2504959,,3D,96,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",87.30887765,0.521274875,2.575192229,-0.08837543
23501430305,TRUE,2022-08-12,-151.240952,61.2504196,,3D,96,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",87.30842292,NaN,NaN,NaN
23501430306,TRUE,2022-08-14,-151.240967,61.2504692,,3D,95,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",86.30861586,-0.560652988,1.781860483,-0.17492244
23522697375,TRUE,2022-08-16,-151.240952,61.2504196,,3D,90,,FALSE,G,OK,,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",81.30842292,-0.140720907,1.623099369,-0.085661709
23753207823,TRUE,2022-09-15,-151.240875,61.2503166,,3D,87,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",78.30815618,0.177466893,2.475961744,-0.145166983
23753207824,TRUE,2022-09-17,-151.240814,61.2503166,,3D,86,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",77.30833432,NaN,NaN,NaN
23733285947,TRUE,2022-07-07,-150.1302643,60.7982483,,,77,,,,,,,gps,Limnodromus griseus,233811,129232019,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",69.10868191,NaN,NaN,NaN
23357225805,TRUE,2022-07-17,-157.537567,57.6527481,,3D,66,,FALSE,G,OK,,,gps,Limnodromus griseus,233824,129231999,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",50.95127325,5.822398566,4.415541511,-0.047749537
23733289956,TRUE,2022-07-07,-156.848938,58.7674751,,,58,,,,,,,gps,Limnodromus griseus,233815,129231922,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",42.63600147,NaN,NaN,NaN
23357225689,TRUE,2022-07-09,-156.840973,58.7657585,,3D,52,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233815,129231922,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",36.63243483,-1.850206525,-3.365449493,0.020110237
23357224999,TRUE,2022-07-15,-156.601822,58.6879883,,3D,51,,FALSE,G,OK,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",35.41397289,NaN,NaN,NaN
23733289954,TRUE,2022-07-03,-156.849823,58.7716217,,,51,,,,,,,gps,Limnodromus griseus,233815,129231922,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",35.63516321,NaN,NaN,NaN
23357225690,TRUE,2022-07-11,-156.848526,58.7665291,,3D,51,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233815,129231922,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",35.63608424,NaN,NaN,NaN
23733289955,TRUE,2022-07-05,-156.849823,58.7721863,,,50,,,,,,,gps,Limnodromus griseus,233815,129231922,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",34.63498709,NaN,NaN,NaN
23733287143,TRUE,2022-07-05,-151.0703735,61.1756172,,,49,,,,,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",42.69077427,NaN,NaN,NaN
