tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233815,King_Salmon,2022,1-Sep-22,-114.078705,27.6796799,-13,Limnodromus griseus,788145.4251,3065133.912,11N
233815,King_Salmon,2022,8-Aug-22,-114.059151,27.679987,-18,Limnodromus griseus,790074.3112,3065213.853,11N
233815,King_Salmon,2022,18-Aug-22,-114.07914,27.6803207,-11,Limnodromus griseus,788100.8134,3065203.929,11N
233815,King_Salmon,2022,16-Aug-22,-114.079529,27.680397,-22,Limnodromus griseus,788062.2247,3065211.477,11N
233815,King_Salmon,2022,4-Aug-22,-114.059433,27.6816521,-25,Limnodromus griseus,790042.0771,3065397.771,11N
233815,King_Salmon,2022,23-Sep-22,-114.067825,27.6817017,-22,Limnodromus griseus,789213.7893,3065383.535,11N
233815,King_Salmon,2022,13-Sep-22,-114.065521,27.682394,-26,Limnodromus griseus,789439.3294,3065465.691,11N
233815,King_Salmon,2022,11-Sep-22,-114.065117,27.6825218,-16,Limnodromus griseus,789478.86,3065480.808,11N
233815,King_Salmon,2022,26-Aug-22,-114.065704,27.6832638,-33,Limnodromus griseus,789418.9742,3065561.681,11N
233815,King_Salmon,2022,24-Aug-22,-114.065834,27.6834431,-34,Limnodromus griseus,789405.6722,3065581.252,11N
233815,King_Salmon,2022,9-Sep-22,-114.064781,27.6834431,-34,Limnodromus griseus,789509.5848,3065583.726,11N
233815,King_Salmon,2022,30-Aug-22,-114.064011,27.6837769,-13,Limnodromus griseus,789584.6886,3065622.54,11N
233815,King_Salmon,2022,29-Jul-22,-114.065269,27.6838779,-31,Limnodromus griseus,789460.2798,3065630.778,11N
233815,King_Salmon,2022,19-Sep-22,-114.064629,27.6843128,-28,Limnodromus griseus,789522.2878,3065680.493,11N
233815,King_Salmon,2022,20-Aug-22,-114.070389,27.6844921,-29,Limnodromus griseus,788953.4097,3065686.841,11N
233815,King_Salmon,2022,12-Aug-22,-114.040077,27.6846714,-18,Limnodromus griseus,791944.1799,3065778.208,11N
233815,King_Salmon,2022,21-Sep-22,-114.064911,27.6847744,-20,Limnodromus griseus,789493.2406,3065731,11N
233815,King_Salmon,2022,3-Sep-22,-114.065346,27.6851845,-25,Limnodromus griseus,789449.2315,3065775.438,11N
233815,King_Salmon,2022,7-Sep-22,-114.065315,27.685236,-17,Limnodromus griseus,789452.1546,3065781.22,11N
233815,King_Salmon,2022,17-Sep-22,-114.065292,27.6854649,-20,Limnodromus griseus,789453.8199,3065806.648,11N
233815,King_Salmon,2022,10-Aug-22,-114.063889,27.68713,-27,Limnodromus griseus,789587.87,3065994.529,11N
233815,King_Salmon,2022,22-Aug-22,-114.064011,27.6872311,-31,Limnodromus griseus,789575.5641,3066005.449,11N
233815,King_Salmon,2022,15-Sep-22,-114.054108,27.6880264,-21,Limnodromus griseus,790550.6771,3066116.938,11N
233815,King_Salmon,2022,14-Aug-22,-114.06015,27.6923256,-31,Limnodromus griseus,789943.0871,3066579.278,11N
181625,Beluga,2022,3-Jul-22,-150.9255524,61.2124786,.,Limnodromus griseus,611434.9558,6788222.827,5N
181625,Beluga,2022,5-Jul-22,-150.8340302,61.2454529,.,Limnodromus griseus,616228.3862,6792053.849,5N
233818,King_Salmon,2022,17-Sep-22,-114.239426,27.6994686,-20,Limnodromus griseus,772236.143,3066961.755,11N
233818,King_Salmon,2022,1-Sep-22,-114.236481,27.6996727,-24,Limnodromus griseus,772526.1876,3066990.894,11N
233818,King_Salmon,2022,30-Aug-22,-114.236816,27.6998272,0,Limnodromus griseus,772492.7525,3067007.278,11N
233818,King_Salmon,2022,18-Aug-22,-114.239754,27.699852,-29,Limnodromus griseus,772202.8303,3067003.527,11N
233818,King_Salmon,2022,20-Aug-22,-114.239502,27.699852,-26,Limnodromus griseus,772227.6924,3067004.085,11N
181625,Beluga,2022,7-Jul-22,-150.8327484,61.2451439,.,Limnodromus griseus,616298.2929,6792021.724,5N
233818,King_Salmon,2022,10-Aug-22,-114.236687,27.6999035,-31,Limnodromus griseus,772505.2898,3067016.021,11N
233818,King_Salmon,2022,23-Sep-22,-114.23661,27.699955,-13,Limnodromus griseus,772512.7585,3067021.9,11N
181625,Beluga,2022,9-Jul-22,-150.8327332,61.2452736,.,Limnodromus griseus,616298.6292,6792036.193,5N
233818,King_Salmon,2022,16-Aug-22,-114.236534,27.700058,-23,Limnodromus griseus,772520.0004,3067033.485,11N
233818,King_Salmon,2022,24-Aug-22,-114.236427,27.700058,-28,Limnodromus griseus,772530.5569,3067033.722,11N
233818,King_Salmon,2022,19-Sep-22,-114.236427,27.7000828,-17,Limnodromus griseus,772530.4952,3067036.471,11N
233818,King_Salmon,2022,22-Aug-22,-114.236275,27.7002888,-35,Limnodromus griseus,772544.979,3067059.641,11N
233818,King_Salmon,2022,29-Jul-22,-114.236938,27.7004414,-28,Limnodromus griseus,772479.1887,3067075.089,11N
181625,Beluga,2022,11-Jul-22,-150.8330841,61.2448654,.,Limnodromus griseus,616281.312,6791990.117,5N
233818,King_Salmon,2022,7-Sep-22,-114.237122,27.7006969,-28,Limnodromus griseus,772460.4002,3067103.002,11N
233818,King_Salmon,2022,4-Aug-22,-114.237526,27.7007751,-27,Limnodromus griseus,772420.3478,3067110.776,11N
233818,King_Salmon,2022,5-Sep-22,-114.244034,27.7008514,-27,Limnodromus griseus,771778.0911,3067104.848,11N
233818,King_Salmon,2022,31-Jul-22,-114.23671,27.7009277,-32,Limnodromus griseus,772500.4735,3067129.497,11N
233818,King_Salmon,2022,12-Aug-22,-114.236458,27.7011833,-32,Limnodromus griseus,772524.6996,3067158.386,11N
233818,King_Salmon,2022,14-Aug-22,-114.234482,27.7013378,-32,Limnodromus griseus,772719.2634,3067179.888,11N
233818,King_Salmon,2022,26-Aug-22,-114.235939,27.7014408,-34,Limnodromus griseus,772575.2625,3067188.078,11N
233818,King_Salmon,2022,8-Aug-22,-114.240982,27.7014904,-29,Limnodromus griseus,772077.6087,3067182.419,11N
233818,King_Salmon,2022,6-Aug-22,-114.24247,27.7017727,-27,Limnodromus griseus,771930.1057,3067210.423,11N
233818,King_Salmon,2022,3-Sep-22,-114.243111,27.7020283,-31,Limnodromus griseus,771866.2322,3067237.338,11N
233818,King_Salmon,2022,11-Sep-22,-114.237251,27.7023354,-33,Limnodromus griseus,772443.599,3067284.334,11N
233818,King_Salmon,2022,9-Sep-22,-114.244003,27.704998,-23,Limnodromus griseus,771770.8636,3067564.541,11N
233818,King_Salmon,2022,25-Sep-22,-114.227264,27.7052803,-25,Limnodromus griseus,773421.5384,3067632.904,11N
233818,King_Salmon,2022,28-Aug-22,-114.224861,27.7062531,-28,Limnodromus griseus,773656.1757,3067746.074,11N
233818,King_Salmon,2022,27-Sep-22,-114.224655,27.7064571,-25,Limnodromus griseus,773675.9888,3067769.144,11N
181625,Beluga,2022,13-Jul-22,-142.7277679,57.2551537,.,Limnodromus griseus,395767.6756,6347111.013,7N
181625,Beluga,2022,15-Jul-22,-124.1620636,40.8410492,.,Limnodromus griseus,402033.2777,4521762.001,10N
233818,King_Salmon,2022,2-Aug-22,-114.229721,27.7087097,-32,Limnodromus griseus,773170.5915,3068007.578,11N
233818,King_Salmon,2022,13-Sep-22,-114.222961,27.709734,-22,Limnodromus griseus,773834.9161,3068136.14,11N
181625,Beluga,2022,17-Jul-22,-122.2304153,37.513588,.,Limnodromus griseus,568011.854,4152126.986,10N
181625,Beluga,2022,19-Jul-22,-122.245079,37.5182991,.,Limnodromus griseus,566711.7394,4152639.161,10N
233818,King_Salmon,2022,15-Sep-22,-114.228157,27.7123203,-24,Limnodromus griseus,773315.8723,3068411.266,11N
181625,Beluga,2022,21-Jul-22,-122.2457504,37.5169907,.,Limnodromus griseus,566653.5712,4152493.524,10N
181625,Beluga,2022,23-Jul-22,-115.9666824,30.3954296,.,Limnodromus griseus,599266.2531,3363056.408,11N
181625,Beluga,2022,25-Jul-22,-114.1791382,27.7489281,.,Limnodromus griseus,778058.5152,3072578.988,11N
181625,Beluga,2022,27-Jul-22,-114.1794968,27.7496967,.,Limnodromus griseus,778021.1966,3072663.374,11N
181625,Beluga,2022,29-Jul-22,-114.1903992,27.7281666,.,Limnodromus griseus,777000.5529,3070252.212,11N
181625,Beluga,2022,31-Jul-22,-114.1861725,27.7218952,.,Limnodromus griseus,777433.3533,3069566.573,11N
181625,Beluga,2022,8-Aug-22,-114.1811829,27.7525368,.,Limnodromus griseus,777847.7009,3072974.379,11N
181625,Beluga,2022,10-Aug-22,-114.2343826,27.7005692,.,Limnodromus griseus,772730.9831,3067094.913,11N
181625,Beluga,2022,12-Aug-22,-114.2247314,27.7119865,.,Limnodromus griseus,773654.6364,3068381.879,11N
181625,Beluga,2022,14-Aug-22,-114.2267761,27.71278,.,Limnodromus griseus,773450.948,3068465.289,11N
181625,Beluga,2022,16-Aug-22,-114.2341537,27.698061,.,Limnodromus griseus,772759.8094,3066817.401,11N
181625,Beluga,2022,18-Aug-22,-114.2335587,27.6958599,.,Limnodromus griseus,772823.9924,3066574.74,11N
181625,Beluga,2022,20-Aug-22,-114.1812897,27.7524872,.,Limnodromus griseus,777837.295,3072968.64,11N
181625,Beluga,2022,22-Aug-22,-114.1810532,27.7523327,.,Limnodromus griseus,777861.0099,3072952.048,11N
181625,Beluga,2022,24-Aug-22,-114.2342529,27.7000313,.,Limnodromus griseus,772745.118,3067035.577,11N
233821,King_Salmon,2022,10-Aug-22,-110.907532,27.8904457,-30,Limnodromus griseus,509100.8677,3085070.012,12N
233818,King_Salmon,2022,25-Jul-22,-114.063217,28.1512833,-30,Limnodromus griseus,788418.2063,3117450.349,11N
233818,King_Salmon,2022,27-Jul-22,-114.053749,28.1579647,-27,Limnodromus griseus,789330.5173,3118213.599,11N
181625,Beluga,2022,26-Aug-22,-114.23159,27.699852,.,Limnodromus griseus,773008.2844,3067021.606,11N
233817,King_Salmon,2022,2-Aug-22,-111.908211,28.8269176,-30,Limnodromus griseus,411391.3484,3189148.449,12N
233817,King_Salmon,2022,29-Jul-22,-111.906677,28.8270473,-24,Limnodromus griseus,411541.1279,3189161.677,12N
233817,King_Salmon,2022,27-Jul-22,-111.907646,28.8271751,-26,Limnodromus griseus,411446.6924,3189176.558,12N
233817,King_Salmon,2022,31-Jul-22,-111.907188,28.8273544,-28,Limnodromus griseus,411491.5303,3189196.083,12N
